text,label
听到听到,其它
那好嘞好嘞,其它
我现在在开会,其它
你们的额度能否循环使用,额度是否循环
行好,其它
这会儿不方便,其它
我急用钱,询问贷款速度
我觉得我没啥用,其它
以前那个都还可以怎么现在四个月,审核时间
我也不知道反正我又玩儿完你看抱歉,其它
我很忙,其它
你喜欢看电影吗,私人信息
恁那个不是幺零零八六幺零零八五嘞,询问身份或来意
好你发过来吧,其它
活,其它
没有,其它
下载你家的app我从什么地方,提交材料
我讲话你听不到是吧？,客户提意见
干啥,询问身份或来意
太多有,其它
你是客服还是机器人吗,是否机器人
就这个,其它
这个欠款征信吗,是否上征信
余多少钱,询问如何还款
我不用,其它
你们说这个注册都需要填写什么,提交材料
手续费是多少,询问手续费
没空,其它
我能知道额外的优惠吗,客服不专业
我说你这里会不会影响个人真信,是否上征信
什么时间有贷款,询问贷款速度
好好好行行好嘞,其它
嗯,其它
你们这我能申请多少额度,询问额度
现在我那是送上班时间没有时间那个接电话,其它
是可以,其它
哦行你说是吧我听着,其它
你电话多少,询问联系方式
那是什么意思就是说得开通个套餐呗,其它
你这是移动公司的,询问身份或来意
哦不用我我这边我我现在想问一下你们比银行利率的话那你们现在这里是多少钱,询问利率
额度能循环吗,额度是否循环
我说我给你没法沟通我不想解,其它
我这边看到你给我度太低我怎么用,询问额度
我没房没有车也能贷款吗,征信差或无资产
哦好的好的,其它
嗯说吧,其它
哦我需要也不太想解,其它
要不要查我的真信,是否上征信
这么不专业你是怎么胜任这份工作的,客服不专业
怎么注销账户,其它
嗯给我办理一下子吧,其它
那我现在暂时用不到好吗,其它
要的,其它
嗯现在,其它
没信用卡,其它
哦对,其它
审核需要什么流程,提交材料
就行吗,其它
哦你给我说一下,其它
缴过,其它
知道我如果借五千元的话你给我的那些是多少,询问额度
恩可以现金吗,询问贷款现金
我超过八十岁,其它
你们拿听不懂,其它
那我能接多少钱,询问额度
块不影响到个人真信,是否上征信
再说再说我考虑一下,考虑
请问你是哪喂机器人,解释省呗
是你是谁,询问身份或来意
那我这边这个额度是多少,询问额度
这个额度的,询问额度
你们和花呗比好在哪里,公司优势
你声音太轻听不清楚,其它
你说你说你说你没事,其它
